dataset,measure,baseline,difference_pp,ci_low_pp,ci_high_pp,subjects,scored_pairs,baseline_trials,bootstrap_draws,bootstrap_seed
Peer,function,CC-SolBMC,27.756966056,22.754312235,33.130249101,180,,1,10000,20260830
Peer,function,SolTG,29.209933253,23.727504677,34.821938394,180,,1,10000,20260830
Peer,function,SolAR,26.406122267,20.70935515,32.026582379,180,,5,10000,20260830
Peer,function,SynTest,42.511186712,36.285428972,48.677038515,180,,5,10000,20260830
Peer,function,FuzzUtils,46.316366986,39.926225726,52.526143176,180,,5,10000,20260830
Peer,line,CC-SolBMC,12.535471582,8.189548632,17.036109219,180,,1,10000,20260830
Peer,line,SolTG,20.652808672,16.065570806,25.384287683,180,,1,10000,20260830
Peer,line,SolAR,17.805412753,12.608024199,22.84164466,180,,5,10000,20260830
Peer,line,SynTest,29.188947158,23.786836327,34.585927151,180,,5,10000,20260830
Peer,line,FuzzUtils,31.216006322,25.708129791,36.647138335,180,,5,10000,20260830
Peer,branch,CC-SolBMC,4.870255673,0.210363119,9.417317685,169,,1,10000,20260830
Peer,branch,SolTG,5.528660461,0.563390817,10.293366328,169,,1,10000,20260830
Peer,branch,SolAR,14.65538314,9.289363331,19.980498316,169,,5,10000,20260830
Peer,branch,SynTest,19.61507519,14.502616275,24.756039105,169,,5,10000,20260830
Peer,branch,FuzzUtils,17.291044192,11.725309016,22.915551822,169,,5,10000,20260830
Peer,kills,CC-SolBMC,16.912218771,13.977054843,19.960582772,176,23604,1,10000,20260830
Peer,kills,SolTG,15.638675059,11.722416079,19.341480477,176,23604,1,10000,20260830
Peer,kills,SolAR,19.76932654,16.712859624,22.975273695,176,23604,5,10000,20260830
Peer,kills,SynTest,18.605553065,15.770399687,21.624325688,176,23604,5,10000,20260830
Peer,kills,FuzzUtils,20.940306278,17.921419979,24.177126625,176,23604,5,10000,20260830
Real,function,CC-SolBMC,30.571931812,26.163312021,35.345843767,189,,1,10000,20260830
Real,function,SolTG,33.345195439,28.993452372,37.884540925,189,,1,10000,20260830
Real,function,SolAR,27.185092023,22.642160708,31.770672798,189,,5,10000,20260830
Real,function,SynTest,33.994666338,29.715328854,38.274055419,189,,5,10000,20260830
Real,function,FuzzUtils,33.212920306,28.667732371,37.812422099,189,,5,10000,20260830
Real,line,CC-SolBMC,23.299018504,19.107548434,27.624285103,189,,1,10000,20260830
Real,line,SolTG,25.989546696,22.071633513,30.0419157,189,,1,10000,20260830
Real,line,SolAR,20.851048401,16.977616438,24.960197799,189,,5,10000,20260830
Real,line,SynTest,26.592115321,22.718896064,30.653803881,189,,5,10000,20260830
Real,line,FuzzUtils,25.739693669,21.721230066,30.008584175,189,,5,10000,20260830
Real,branch,CC-SolBMC,11.383609319,7.615862235,15.300197517,142,,1,10000,20260830
Real,branch,SolTG,12.439947348,8.795996202,16.406370093,142,,1,10000,20260830
Real,branch,SolAR,12.270495943,8.64266855,16.287506966,142,,5,10000,20260830
Real,branch,SynTest,12.439947348,8.788269757,16.318808287,142,,5,10000,20260830
Real,branch,FuzzUtils,12.439947348,8.737489452,16.413699046,142,,5,10000,20260830
Real,kills,CC-SolBMC,8.418248831,6.025299837,11.054240093,170,116137,1,10000,20260830
Real,kills,SolTG,9.849073747,7.317142788,12.611724258,170,116137,1,10000,20260830
Real,kills,SolAR,9.312986892,6.888421774,12.05856933,170,116137,5,10000,20260830
Real,kills,SynTest,9.8425378,7.268905887,12.560804427,170,116137,4,10000,20260830
Real,kills,FuzzUtils,9.731426688,7.243552142,12.469277274,170,116137,5,10000,20260830
Patch,function,CC-SolBMC,37.452138944,29.823089669,45.254752153,124,,1,10000,20260830
Patch,function,SolTG,57.170133528,49.502074806,64.365028876,124,,1,10000,20260830
Patch,function,SolAR,46.778111741,39.084033724,54.477962944,124,,5,10000,20260830
Patch,function,SynTest,59.760081179,53.001053021,66.396314124,124,,5,10000,20260830
Patch,function,FuzzUtils,59.508843205,52.763828444,66.072480088,124,,5,10000,20260830
Patch,line,CC-SolBMC,18.177563758,11.724310747,24.753950231,124,,1,10000,20260830
Patch,line,SolTG,36.819958929,30.856413139,42.622762869,124,,1,10000,20260830
Patch,line,SolAR,28.420707088,22.751083589,34.188201759,124,,5,10000,20260830
Patch,line,SynTest,39.085047512,33.798296605,44.495111218,124,,5,10000,20260830
Patch,line,FuzzUtils,37.251201074,30.917445961,43.492575302,124,,5,10000,20260830
Patch,branch,CC-SolBMC,14.314259365,8.859657953,20.037124977,122,,1,10000,20260830
Patch,branch,SolTG,23.073881525,18.015934489,28.31886894,122,,1,10000,20260830
Patch,branch,SolAR,20.81835857,16.108201194,25.645212186,122,,5,10000,20260830
Patch,branch,SynTest,23.209262537,18.567435119,28.128147772,122,,5,10000,20260830
Patch,branch,FuzzUtils,21.830712126,16.922689604,27.072708694,122,,5,10000,20260830
Patch,kills,CC-SolBMC,34.677419355,25.806451613,43.548387097,124,124,1,10000,20260830
Patch,kills,SolTG,38.709677419,29.032258065,47.580645161,124,124,1,10000,20260830
Patch,kills,SolAR,40.322580645,32.258064516,49.193548387,124,124,5,10000,20260830
Patch,kills,SynTest,39.838709677,31.451612903,48.387096774,124,124,5,10000,20260830
Patch,kills,FuzzUtils,40.322580645,31.451612903,49.193548387,124,124,5,10000,20260830
