dataset,tool,trials,raw_mean,raw_sd,valid_mean,valid_sd,median_time_per_subject_s,function_percent_mean,function_percent_sd,line_percent_mean,line_percent_sd,branch_percent_mean,branch_percent_sd,path_percent_mean,path_percent_sd
Peer,VeriPUT,1,10.714285714,8.20562496,9.912087912,8.365475422,145.163,61.623465752,35.670628151,45.482165412,33.049414696,30.073518128,34.203453048,25.237983533,18.142988124
Peer,CC-SolBMC,1,5.961538462,6.905330941,2.28021978,3.154150814,0.777,33.866499695,37.622685231,32.94669383,35.153796695,25.203262455,30.141642063,11.946494416,19.811575848
Peer,SolTG,1,1.802197802,2.977706412,1.32967033,2.536169056,121.7265,32.962914405,43.429142072,28.687019995,39.466527416,21.714390857,35.850760695,14.245887768,26.071146263
Peer,SolAR,5,3.056043956,4.811992463,1.542857143,2.427344357,107.37,35.217343485,41.872012809,27.676752659,35.518870188,15.418134988,27.695573976,12.42769093,20.067281179
Peer,SynTest,5,5.575824176,6.640896408,0.62967033,1.343279283,586.51,19.112279039,35.508846559,16.293218254,31.599531077,10.458442939,25.839672869,7.45373444,17.557684209
Peer,FuzzUtils,5,7.449450549,9.645371715,0.746153846,2.607082158,589.2,15.307098765,35.753850299,14.26615909,33.855917739,12.782473936,31.955666104,6.355950102,16.704942533
Real,VeriPUT,1,4.815920398,4.751941211,2.880597015,4.789120132,298.356,34.090747042,30.792388651,26.656853176,28.194164015,12.267170301,23.134098828,18.333864115,17.643261141
Real,CC-SolBMC,1,1.472636816,5.164348702,0.223880597,0.821356723,1.672,3.679720134,14.827574065,3.397901746,13.933969712,0.925925926,6.470835227,1.238303856,4.537777687
Real,SolTG,1,0.218905473,1.015795647,0.029850746,0.262877305,1.678,0.921052632,8.282005671,0.804093567,7.465269345,0,0,0.655058043,7.274336786
Real,SolAR,5,1.145273632,3.461626585,0.282587065,0.949808784,12.61,7.048734451,20.132409567,5.915547135,18.270607632,0.167097913,2.042081694,2.377479081,10.057193033
Real,SynTest,5,0.605970149,2.312266824,0.007960199,0.109035606,3.62,0.275,4.204586408,0.204696356,3.561203815,0,0,0.077602242,1.13579151
Real,FuzzUtils,5,1.348258706,4.423780073,0.026865672,0.275627908,5.2,1.052631579,10.21101744,1.052631579,10.21101744,0,0,0.663349917,7.409031468
Patch,VeriPUT,1,7.306451613,6.365784325,6.241935484,5.863447428,96.705,64.992714173,35.572268092,42.642906143,29.287298696,24.508307754,27.207459093,22.204538229,16.865194622
Patch,CC-SolBMC,1,2.556451613,4.358530407,1.169354839,2.381233452,0.719,27.540575228,35.202338166,24.465342386,33.500103055,10.194048389,20.262147768,7.743403894,11.63610524
Patch,SolTG,1,1.056451613,2.660467651,0.258064516,0.596343434,121.667,7.822580645,23.455138347,5.822947214,16.941320065,1.43442623,6.400741656,1.786674347,6.439987425
Patch,SolAR,5,2.764516129,5.270642831,0.8,1.449862118,602.52,18.197624503,30.82659275,14.208758195,24.690959749,3.689949184,10.635651476,4.798957714,9.158104348
Patch,SynTest,5,2.672580645,3.49810331,0.146774194,0.614372223,583.085,5.232632994,18.570712438,3.557858631,13.243229973,1.299045217,8.395900263,1.690124762,6.949062879
Patch,FuzzUtils,5,3.920967742,5.69600481,0.1,0.421168465,590.2,5.483870968,22.784898448,5.391705069,22.427915594,2.677595628,11.102673405,0.403225806,4.475601339
