dataset,oracle_family,attributions,share_of_attributions_pct,share_of_killed_mutants_pct
all,R0 exit behavior,1367,47.137931034,48.961318052
all,R2.1 value behavior,603,20.793103448,21.597421203
all,fixed replay assertion,516,17.793103448,18.481375358
all,R2.2 source-derived relation,377,13,13.50286533
all,R1 change behavior,37,1.275862069,1.3252149
Peer,R0 exit behavior,1071,46.544980443,
Peer,R2.1 value behavior,518,22.511951326,
Peer,fixed replay assertion,368,15.993046502,
Peer,R2.2 source-derived relation,310,13.472403303,
Peer,R1 change behavior,34,1.477618427,
Real,R0 exit behavior,288,50.615114236,
Real,R2.1 value behavior,83,14.586994728,
Real,fixed replay assertion,147,25.834797891,
Real,R2.2 source-derived relation,50,8.787346221,
Real,R1 change behavior,1,0.175746924,
Patch,R0 exit behavior,8,26.666666667,
Patch,R2.1 value behavior,2,6.666666667,
Patch,fixed replay assertion,1,3.333333333,
Patch,R2.2 source-derived relation,17,56.666666667,
Patch,R1 change behavior,2,6.666666667,
