dataset,tool,trials,reached_subjects_min,reached_subjects_max,killed_subjects_min,killed_subjects_max,kills_mean,kills_sd,detection_yield_percent_mean,detection_yield_percent_sd,population_denominator
Peer,VeriPUT,1,176,176,166,166,3048,0,12.908143819,0,23613
Peer,CC-SolBMC,1,113,113,105,105,924,0,3.913098717,0,23613
Peer,SolTG,1,74,74,44,44,466,0,1.97348918,0,23613
Peer,SolAR,5,77,93,57,69,431.8,61.977415241,1.828653708,0.262471584,23613
Peer,SynTest,5,48,56,44,50,867.6,241.198673297,3.674247237,1.021465605,23613
Peer,FuzzUtils,5,28,29,22,23,237.8,18.93937697,1.007072375,0.080207415,23613
Real,VeriPUT,1,170,170,156,156,1279,0,1.089799848,0,117361
Real,CC-SolBMC,1,18,18,17,17,119,0,0.101396546,0,117361
Real,SolTG,1,2,2,0,0,0,0,0,0,117361
Real,SolAR,5,21,25,13,15,66.2,11.882760622,0.056407154,0.010124965,117361
Real,SynTest,5,0,2,0,1,0.4,0.894427191,0.000340829,0.000762116,117361
Real,FuzzUtils,5,1,1,1,1,1,0,0.000852072,0,117361
Patch,VeriPUT,1,124,124,50,50,50,0,40.322580645,0,124
Patch,CC-SolBMC,1,57,57,7,7,7,0,5.64516129,0,124
Patch,SolTG,1,24,24,2,2,2,0,1.612903226,0,124
Patch,SolAR,5,37,43,0,0,0,0,0,0,124
Patch,SynTest,5,7,13,0,1,0.6,0.547722558,0.483870968,0.44171174,124
Patch,FuzzUtils,5,6,8,0,0,0,0,0,0,124
